,index,token_address,id,user,status,uri,name,description,image_url,metadata,collection,created_at,updated_at,god,set,mana,type,image,proto,tribe,attack,effect,health,rarity,quality,ETH amount,USD amount
58,58,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x3097ffeadaab6e4a232a9459852baabe25e110c67d6d7cbf00b50251d4ce8403,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Dragon of the First Pillar,,https://card.godsunchained.com/?id=908&q=4,"{'god': 'light', 'set': 'trial', 'mana': 7, 'name': 'Dragon of the First Pillar', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=908&q=4', 'proto': 908, 'tribe': 'dragon', 'attack': 5, 'effect': 'At the start of your turn, give +1 strength to each of your creatures.<br>Roar: Give this creature backline and +2 strength, or give it frontline and +4 health.', 'health': 5, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:28.563133Z,2021-04-26T01:00:45.169216Z,light,trial,7,card,https://card.godsunchained.com/?id=908&q=4,908,dragon,5,"At the start of your turn, give +1 strength to each of your creatures.<br>Roar: Give this creature backline and +2 strength, or give it frontline and +4 health.",5,rare,Meteorite,0.0003,1.253256
59,59,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x33d24c5dedb73cdb336399ccfa6c3f5553b11e43466b73d4a487bf8a57603432,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Fated Arrival,,https://card.godsunchained.com/?id=883&q=4,"{'god': 'light', 'set': 'trial', 'mana': 3, 'name': 'Fated Arrival', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=883&q=4', 'proto': 883, 'attack': 0, 'effect': 'Draw the Chosen One<br>from your deck.<br>Give it ward and frontline.', 'health': 0, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:28.508771Z,2021-04-26T00:47:28.738421Z,light,trial,3,card,https://card.godsunchained.com/?id=883&q=4,883,,0,Draw the Chosen One<br>from your deck.<br>Give it ward and frontline.,0,rare,Meteorite,0.000249,1.04020248
60,60,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x0e2ddbc1b4983ac54979d46ae986d6c4978e0984aee08d8c50e46030fa9a628c,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Larcenous Pan,,https://card.godsunchained.com/?id=851&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 2, 'name': 'Larcenous Pan', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=851&q=4', 'proto': 851, 'tribe': 'nether', 'attack': 1, 'effect': 'Hidden. Flank. <br>When this creature attacks a god, steal 3 of their favor. (You also gain favor for attacking.)', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:27.37736Z,2021-03-29T15:40:53.079905Z,deception,trial,2,card,https://card.godsunchained.com/?id=851&q=4,851,nether,1,"Hidden. Flank. <br>When this creature attacks a god, steal 3 of their favor. (You also gain favor for attacking.)",3,common,Meteorite,1.5e-05,0.0626628
61,61,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x5ac05e033ba5222235e325970fe38d057fab551d7d02fe316040a40d7a61c413,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Ironclad Minotaur,,https://card.godsunchained.com/?id=886&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 6, 'name': 'Ironclad Minotaur', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=886&q=4', 'proto': 886, 'tribe': '', 'attack': 5, 'effect': 'Protected.<br>Roar: Give ward to your god. Remove sleep from each friendly creature.', 'health': 6, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:27.337042Z,2021-03-29T15:40:53.089881Z,neutral,trial,6,card,https://card.godsunchained.com/?id=886&q=4,886,,5,Protected.<br>Roar: Give ward to your god. Remove sleep from each friendly creature.,6,common,Meteorite,0.00017,0.7101784000000001
62,62,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xe267787115b51f41bf95536068c8e6366a659833b5bfe9cd2845a9a6d5b0d49e,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Aether Herald,,https://card.godsunchained.com/?id=815&q=4,"{'god': 'magic', 'set': 'trial', 'mana': 2, 'name': 'Aether Herald', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=815&q=4', 'proto': 815, 'tribe': 'aether', 'attack': 2, 'effect': ""Roar: If you are holding an Aether, deal 3 damage to your opponent's god."", 'health': 2, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:27.296561Z,2021-04-26T00:42:03.271501Z,magic,trial,2,card,https://card.godsunchained.com/?id=815&q=4,815,aether,2,"Roar: If you are holding an Aether, deal 3 damage to your opponent's god.",2,common,Meteorite,2.3e-05,0.09608296000000001
63,63,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x67e31d1b294c58d38e4835b171ee2188855a421f9c9df072068e5cfc4bdeb7b7,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Council of the Gods,,https://card.godsunchained.com/?id=915&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 2, 'name': 'Council of the Gods', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=915&q=4', 'proto': 915, 'tribe': '', 'attack': 0, 'effect': 'Delve a common god power from your domain.<br>It replaces your god power.<br>You cannot use it this turn.<br>Gain 5 favor.', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:27.257221Z,2021-03-29T15:40:53.123233Z,neutral,trial,2,card,https://card.godsunchained.com/?id=915&q=4,915,,0,Delve a common god power from your domain.<br>It replaces your god power.<br>You cannot use it this turn.<br>Gain 5 favor.,0,common,Meteorite,1.5e-05,0.0626628
64,64,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xdea768e0abeb7c6df3df64278db6741eba97c97378fe0cecd2892818c9a0cb4c,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Howling Berserker,,https://card.godsunchained.com/?id=866&q=4,"{'god': 'war', 'set': 'trial', 'mana': 9, 'name': 'Howling Berserker', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=866&q=4', 'proto': 866, 'tribe': 'viking', 'attack': 2, 'effect': 'Leech.<br>At the end of your turn & Roar: Summon a copy of this creature.', 'health': 2, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:27.217307Z,2021-04-26T00:52:30.088983Z,war,trial,9,card,https://card.godsunchained.com/?id=866&q=4,866,viking,2,Leech.<br>At the end of your turn & Roar: Summon a copy of this creature.,2,rare,Meteorite,0.00024,1.0026048
65,65,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xa824b9ee70d0103fe71d96d540660c8d1fa9bc173608339c014eb1caf4f78799,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Council of the Gods,,https://card.godsunchained.com/?id=915&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 2, 'name': 'Council of the Gods', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=915&q=4', 'proto': 915, 'tribe': '', 'attack': 0, 'effect': 'Delve a common god power from your domain.<br>It replaces your god power.<br>You cannot use it this turn.<br>Gain 5 favor.', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:26.091405Z,2021-03-29T15:40:53.039518Z,neutral,trial,2,card,https://card.godsunchained.com/?id=915&q=4,915,,0,Delve a common god power from your domain.<br>It replaces your god power.<br>You cannot use it this turn.<br>Gain 5 favor.,0,common,Meteorite,1.5e-05,0.0626628
66,66,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x06aea2d64eddc2010c15f2a9926fb9eea14463ad2184733d6ec3826bd70f01f1,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Hooded Figure,,https://card.godsunchained.com/?id=852&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 5, 'name': 'Hooded Figure', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=852&q=4', 'proto': 852, 'tribe': 'anubian', 'attack': 6, 'effect': 'Backline. Flank. Hidden.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:26.051061Z,2021-04-26T00:52:30.086324Z,deception,trial,5,card,https://card.godsunchained.com/?id=852&q=4,852,anubian,6,Backline. Flank. Hidden.,3,common,Meteorite,1.7e-05,0.07101784000000001
67,67,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xefe04bf2d0aa815b254df798ff45a8f4c7800e1c431b76339abd8cfc410d3cca,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Jaguar Staff,,https://card.godsunchained.com/?id=838&q=4,"{'god': 'nature', 'set': 'trial', 'mana': 5, 'name': 'Jaguar Staff', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=838&q=4', 'proto': 838, 'attack': 2, 'effect': 'Blitz.<br>After your god attacks, summon a Black Jaguar.', 'health': 2, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:26.00249Z,2021-04-26T00:38:21.547341Z,nature,trial,5,card,https://card.godsunchained.com/?id=838&q=4,838,,2,"Blitz.<br>After your god attacks, summon a Black Jaguar.",2,common,Meteorite,0.00024,1.0026048
68,68,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x4aaed59cd7e29a270274ec2f6a28461b67972ff9bcebdc98bc349a59c54c9bf3,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Spellbound Goblin,,https://card.godsunchained.com/?id=941&q=4,"{'god': 'magic', 'set': 'trial', 'mana': 4, 'name': 'Spellbound Goblin', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=941&q=4', 'proto': 941, 'attack': 3, 'effect': 'Spell boost +1.<br>Roar: Give -5 durability to your opponent’s relic.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:25.960818Z,2021-04-26T00:46:35.486037Z,magic,trial,4,card,https://card.godsunchained.com/?id=941&q=4,941,,3,Spell boost +1.<br>Roar: Give -5 durability to your opponent’s relic.,3,common,Meteorite,1.5e-05,0.0626628
69,69,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x2e536c275f4d5c0131b587c973601654cae86953475920baf74c5f7f3e06db2f,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Ludia's Deception,,https://card.godsunchained.com/?id=913&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 1, 'name': ""Ludia's Deception"", 'type': 'card', 'image': 'https://card.godsunchained.com/?id=913&q=4', 'proto': 913, 'tribe': '', 'attack': 0, 'effect': 'Target an opponent.<br>Look at their hand, and <br>shuffle one of their cards into their deck.<br>Both players draw a card.', 'health': 0, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:25.920638Z,2021-03-29T15:40:52.997416Z,deception,trial,1,card,https://card.godsunchained.com/?id=913&q=4,913,,0,"Target an opponent.<br>Look at their hand, and <br>shuffle one of their cards into their deck.<br>Both players draw a card.",0,rare,Meteorite,0.00018,0.7519536000000001
70,70,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xa4958935d219e78afde94beebaf3aa496b850242cafa3df868ed6ed0bf6b1e82,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Bloodthirsty Spear,,https://card.godsunchained.com/?id=860&q=4,"{'god': 'war', 'set': 'trial', 'mana': 1, 'name': 'Bloodthirsty Spear', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=860&q=4', 'proto': 860, 'tribe': '', 'attack': 2, 'effect': 'Godblitz.', 'health': 1, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:24.783571Z,2021-03-29T15:40:52.938342Z,war,trial,1,card,https://card.godsunchained.com/?id=860&q=4,860,,2,Godblitz.,1,common,Meteorite,1.9e-05,0.07937288
71,71,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x4cd16e9b6710153def307ba2705471713d7a26acc935382439c0f3f8dc379f4d,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Diligent Architect,,https://card.godsunchained.com/?id=892&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 3, 'name': 'Diligent Architect', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=892&q=4', 'proto': 892, 'tribe': 'guild', 'attack': 2, 'effect': 'Roar: Delve a Structure,<br>add it to your hand, and<br>give it +2 health.', 'health': 2, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:24.743054Z,2021-04-26T00:46:20.995617Z,neutral,trial,3,card,https://card.godsunchained.com/?id=892&q=4,892,guild,2,"Roar: Delve a Structure,<br>add it to your hand, and<br>give it +2 health.",2,common,Meteorite,7.7e-05,0.32166904
72,72,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xe1073c03d23a1fb2ee97bac0433e87327aa279cd32cb10ebedb5a3c899f79c14,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Rod of Rodents,,https://card.godsunchained.com/?id=814&q=4,"{'god': 'magic', 'set': 'trial', 'mana': 3, 'name': 'Rod of Rodents', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=814&q=4', 'proto': 814, 'attack': 1, 'effect': 'After you cast a spell<br>that costs 3 or less,<br>summon a 1/1 Rat.', 'health': 2, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:24.701507Z,2021-04-26T00:57:32.290093Z,magic,trial,3,card,https://card.godsunchained.com/?id=814&q=4,814,,1,"After you cast a spell<br>that costs 3 or less,<br>summon a 1/1 Rat.",2,common,Meteorite,1.5e-05,0.0626628
73,73,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xf2c1392965fa6ab8de1ad354b54619dfaa656e0c56caafa24e154bc300b9994f,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Ornery Goat,,https://card.godsunchained.com/?id=841&q=4,"{'god': 'nature', 'set': 'trial', 'mana': 3, 'name': 'Ornery Goat', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=841&q=4', 'proto': 841, 'tribe': 'wild', 'attack': 3, 'effect': 'Confused.<br>At the start of your turn, deal 2 damage to a random enemy creature.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:24.660658Z,2021-04-26T00:43:24.299987Z,nature,trial,3,card,https://card.godsunchained.com/?id=841&q=4,841,wild,3,"Confused.<br>At the start of your turn, deal 2 damage to a random enemy creature.",3,common,Meteorite,0.00018,0.7519536000000001
74,74,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x4070d95f6be44048f0f4cce36582f2b48128faa6119cc01d7831a0a9c40a05e8,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Recovered Knowledge,,https://card.godsunchained.com/?id=816&q=4,"{'god': 'magic', 'set': 'trial', 'mana': 3, 'name': 'Recovered Knowledge', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=816&q=4', 'proto': 816, 'tribe': '', 'attack': 0, 'effect': 'Soulless.<br>Pull two random spells, that each cost 3 or less, from your void into your hand.', 'health': 0, 'rarity': 'epic', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:24.620512Z,2021-03-29T15:40:52.92668Z,magic,trial,3,card,https://card.godsunchained.com/?id=816&q=4,816,,0,"Soulless.<br>Pull two random spells, that each cost 3 or less, from your void into your hand.",0,epic,Meteorite,0.00058,2.4229616000000003
75,75,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x853b7a2390efcb54922d34d7a4f97f1c56c9a0712b10985d655fd779185ee7ed,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Vow of Champions,,https://card.godsunchained.com/?id=917&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 2, 'name': 'Vow of Champions', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=917&q=4', 'proto': 917, 'tribe': '', 'attack': 0, 'effect': 'Pick one —<br>• Draw a card.<br>• Gain 7 favor.<br>• Deal 2 damage.<br>• Heal your god for 4.', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:23.515707Z,2021-03-29T15:40:52.830459Z,neutral,trial,2,card,https://card.godsunchained.com/?id=917&q=4,917,,0,Pick one —<br>• Draw a card.<br>• Gain 7 favor.<br>• Deal 2 damage.<br>• Heal your god for 4.,0,common,Meteorite,4.9e-05,0.20469848000000002
76,76,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x156402c1437625afdcf8228e341f22d0950bfdaa0c7270421be1662f88bf74a0,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Blessing of Magic,,https://card.godsunchained.com/?id=940&q=3,"{'god': 'magic', 'set': 'trial', 'mana': 2, 'name': 'Blessing of Magic', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=940&q=3', 'proto': 940, 'attack': 0, 'effect': 'Gain favor equal to three times the amount of mana you have unlocked.', 'health': 0, 'rarity': 'common', 'quality': 'Shadow'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:23.475835Z,2021-04-26T00:46:20.988604Z,magic,trial,2,card,https://card.godsunchained.com/?id=940&q=3,940,,0,Gain favor equal to three times the amount of mana you have unlocked.,0,common,Shadow,0.00014,0.5848528000000001
77,77,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x03bb946cc19052e8c5606c1adcc520b49dc9e9fb96286c7c383b31d0fc17fea0,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Soul Shatter,,https://card.godsunchained.com/?id=931&q=4,"{'god': 'death', 'set': 'trial', 'mana': 3, 'name': 'Soul Shatter', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=931&q=4', 'proto': 931, 'tribe': '', 'attack': 0, 'effect': 'Destroy target creature<br>with cost 3 or less.<br>Deal 2 damage to each friendly character.', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:23.435576Z,2021-03-29T15:40:52.8228Z,death,trial,3,card,https://card.godsunchained.com/?id=931&q=4,931,,0,Destroy target creature<br>with cost 3 or less.<br>Deal 2 damage to each friendly character.,0,common,Meteorite,5.7e-05,0.23811864000000005
78,78,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xa0269c1f33ed241244d95e983612c455b49b1a4abd29c7392f3bf9e51f228d12,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Trial of the Shadows,,https://card.godsunchained.com/?id=919&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 7, 'name': 'Trial of the Shadows', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=919&q=4', 'proto': 919, 'tribe': '', 'attack': 0, 'effect': 'Fill your side of the board with Shadow of Lethenons.', 'health': 0, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:23.394367Z,2021-03-29T15:40:52.818437Z,deception,trial,7,card,https://card.godsunchained.com/?id=919&q=4,919,,0,Fill your side of the board with Shadow of Lethenons.,0,rare,Meteorite,0.00026,1.0861552
79,79,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x7ec96dbd850e6c073c016c8488c731f9c5af6823073e9b20130d832ed77d9a3e,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Elixir of the Snake,,https://card.godsunchained.com/?id=857&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 6, 'name': 'Elixir of the Snake', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=857&q=4', 'proto': 857, 'tribe': '', 'attack': 0, 'effect': 'Each creature gets +3/-3.', 'health': 0, 'rarity': 'epic', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:23.354322Z,2021-03-29T15:40:52.819346Z,deception,trial,6,card,https://card.godsunchained.com/?id=857&q=4,857,,0,Each creature gets +3/-3.,0,epic,Meteorite,0.00029,1.2114808000000001
80,80,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xafca8977df06b3629c8d8bef2f9a154f8d189659d99a276345c03f34ef80de68,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Ironclad Minotaur,,https://card.godsunchained.com/?id=886&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 6, 'name': 'Ironclad Minotaur', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=886&q=4', 'proto': 886, 'tribe': '', 'attack': 5, 'effect': 'Protected.<br>Roar: Give ward to your god. Remove sleep from each friendly creature.', 'health': 6, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:22.246024Z,2021-03-29T15:40:52.729223Z,neutral,trial,6,card,https://card.godsunchained.com/?id=886&q=4,886,,5,Protected.<br>Roar: Give ward to your god. Remove sleep from each friendly creature.,6,common,Meteorite,0.00017,0.7101784000000001
81,81,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x6e4202913893e709d1ebc26b98400c0dba4b8dbcd3343dfcb5bb4ceece6388af,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Spellbound Goblin,,https://card.godsunchained.com/?id=941&q=4,"{'god': 'magic', 'set': 'trial', 'mana': 4, 'name': 'Spellbound Goblin', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=941&q=4', 'proto': 941, 'attack': 3, 'effect': 'Spell boost +1.<br>Roar: Give -5 durability to your opponent’s relic.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:22.205651Z,2021-04-26T00:47:28.726126Z,magic,trial,4,card,https://card.godsunchained.com/?id=941&q=4,941,,3,Spell boost +1.<br>Roar: Give -5 durability to your opponent’s relic.,3,common,Meteorite,1.5e-05,0.0626628
82,82,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x6a78159d257f432ce385b93eb426218d980b49621711c069d55802b2d2facedb,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Nether's Advocate,,https://card.godsunchained.com/?id=800&q=4,"{'god': 'death', 'set': 'trial', 'mana': 2, 'name': ""Nether's Advocate"", 'type': 'card', 'image': 'https://card.godsunchained.com/?id=800&q=4', 'proto': 800, 'tribe': 'anubian', 'attack': 1, 'effect': 'Afterlife: Summon a 3/2 Experimental Outcome.', 'health': 1, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:22.164232Z,2021-03-29T15:40:52.722461Z,death,trial,2,card,https://card.godsunchained.com/?id=800&q=4,800,anubian,1,Afterlife: Summon a 3/2 Experimental Outcome.,1,common,Meteorite,0.00015,0.626628
83,83,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x28ef5890f2c429cb1a6ef5d6f500e1607f620b18f1599acb20f89b5d62b32c85,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Skull Scepter,,https://card.godsunchained.com/?id=806&q=4,"{'god': 'death', 'set': 'trial', 'mana': 2, 'name': 'Skull Scepter', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=806&q=4', 'proto': 806, 'attack': 0, 'effect': 'After one of your creatures die, deal 1 damage to your opponent’s god.', 'health': 1, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:22.122592Z,2021-04-26T00:45:03.509942Z,death,trial,2,card,https://card.godsunchained.com/?id=806&q=4,806,,0,"After one of your creatures die, deal 1 damage to your opponent’s god.",1,rare,Meteorite,0.00057,2.3811864000000003
84,84,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xfbdf66aebce9969e9bda6475955ca4049c39694ea2731c68ed7e00abb42bf64a,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,"Chiron, the Teacher",,https://card.godsunchained.com/?id=847&q=4,"{'god': 'nature', 'set': 'trial', 'mana': 1, 'name': 'Chiron, the Teacher', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=847&q=4', 'proto': 847, 'tribe': '', 'attack': 1, 'effect': ""Regen 1.<br>Roar: Give a random other friendly creature +1/+1. Give burn 1 to a random enemy creature. Remove 1 durability from your opponent's relic."", 'health': 1, 'rarity': 'legendary', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:22.079253Z,2021-03-29T15:40:52.717317Z,nature,trial,1,card,https://card.godsunchained.com/?id=847&q=4,847,,1,Regen 1.<br>Roar: Give a random other friendly creature +1/+1. Give burn 1 to a random enemy creature. Remove 1 durability from your opponent's relic.,1,legendary,Meteorite,0.00655,27.362756000000005
85,85,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xa7dec190094ec502e7738e54c45421fa5275e9240213e68d387ec95d7b1ef30c,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Council of the Gods,,https://card.godsunchained.com/?id=915&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 2, 'name': 'Council of the Gods', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=915&q=4', 'proto': 915, 'tribe': '', 'attack': 0, 'effect': 'Delve a common god power from your domain.<br>It replaces your god power.<br>You cannot use it this turn.<br>Gain 5 favor.', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:20.973841Z,2021-03-29T15:40:52.639066Z,neutral,trial,2,card,https://card.godsunchained.com/?id=915&q=4,915,,0,Delve a common god power from your domain.<br>It replaces your god power.<br>You cannot use it this turn.<br>Gain 5 favor.,0,common,Meteorite,1.5e-05,0.0626628
86,86,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xee2e46b391f7847ea669c9593cd84654efeceed11a433fc090785223e457b355,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Guild Siren,,https://card.godsunchained.com/?id=935&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 2, 'name': 'Guild Siren', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=935&q=4', 'proto': 935, 'tribe': 'guild', 'attack': 2, 'effect': 'After this creature attacks a god, pull a random card in their hand into their deck. Then, they draw a card.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-03-29T15:40:20.933245Z,2021-03-29T15:40:52.634596Z,deception,trial,2,card,https://card.godsunchained.com/?id=935&q=4,935,guild,2,"After this creature attacks a god, pull a random card in their hand into their deck. Then, they draw a card.",3,common,Meteorite,2e-05,0.08355040000000001
